date,Value_3mon,Value_10yr
1962-01-02,2.700,4.06
1962-01-03,2.730,4.03
1962-01-04,2.720,3.99
1962-01-05,2.740,4.02
1962-01-08,2.780,4.03
1962-01-09,2.780,4.05
1962-01-10,2.810,4.07
1962-01-11,2.780,4.08
1962-01-12,2.760,4.08
1962-01-15,2.740,4.10
1962-01-16,2.730,4.13
1962-01-17,2.740,4.12
1962-01-18,2.710,4.11
1962-01-19,2.710,4.11
1962-01-22,2.680,4.09
1962-01-23,2.660,4.11
1962-01-24,2.660,4.10
1962-01-25,2.660,4.11
1962-01-26,2.670,4.11
1962-01-29,2.670,4.12
1962-01-30,2.670,4.11
1962-01-31,2.730,4.10
1962-02-01,2.690,4.09
1962-02-02,2.670,4.08
1962-02-05,2.670,4.07
1962-02-06,2.680,4.06
1962-02-07,2.730,4.07
1962-02-08,2.720,4.07
1962-02-09,2.720,4.05
1962-02-13,2.760,4.03
1962-02-14,2.820,4.03
1962-02-15,2.840,4.02
1962-02-16,2.830,4.02
1962-02-19,2.800,4.01
1962-02-20,2.750,4.05
1962-02-21,2.730,4.03
1962-02-23,2.690,4.02
1962-02-26,2.660,4.00
1962-02-27,2.720,4.01
1962-02-28,2.710,4.00
1962-03-01,2.680,3.98
1962-03-02,2.690,3.98
1962-03-05,2.700,4.00
1962-03-06,2.720,4.01
1962-03-07,2.750,4.00
1962-03-08,2.750,3.98
1962-03-09,2.760,3.96
1962-03-12,2.750,3.94
1962-03-13,2.750,3.92
1962-03-14,2.750,3.93
1962-03-15,2.730,3.96
1962-03-16,2.720,3.96
1962-03-19,2.700,3.93
1962-03-20,2.700,3.91
1962-03-21,2.710,3.86
1962-03-22,2.690,3.83
1962-03-23,2.700,3.87
1962-03-26,2.710,3.89
1962-03-27,2.720,3.90
1962-03-28,2.730,3.90
1962-03-29,2.750,3.90
1962-03-30,2.750,3.86
1962-04-02,2.740,3.86
1962-04-03,2.730,3.83
1962-04-04,2.700,3.78
1962-04-05,2.720,3.84
1962-04-06,2.700,3.81
1962-04-09,2.710,3.83
1962-04-10,2.740,3.83
1962-04-11,2.780,3.87
1962-04-12,2.730,3.86
1962-04-13,2.740,3.85
1962-04-16,2.710,3.83
1962-04-17,2.720,3.82
1962-04-18,2.730,3.81
1962-04-19,2.730,3.82
1962-04-23,2.730,3.86
1962-04-24,2.730,3.87
1962-04-25,2.740,3.88
1962-04-26,2.730,3.89
1962-04-27,2.740,3.86
1962-04-30,2.740,3.86
1962-05-01,2.740,3.85
1962-05-02,2.740,3.86
1962-05-03,2.730,3.86
1962-05-04,2.730,3.87
1962-05-07,2.700,3.86
1962-05-08,2.680,3.85
1962-05-09,2.670,3.82
1962-05-10,2.660,3.83
1962-05-11,2.630,3.82
1962-05-14,2.640,3.85
1962-05-15,2.660,3.87
1962-05-16,2.670,3.86
1962-05-17,2.680,3.87
1962-05-18,2.680,3.93
1962-05-21,2.680,3.94
1962-05-22,2.680,3.93
1962-05-23,2.700,3.91
1962-05-24,2.700,3.90
1962-05-25,2.690,3.88
1962-05-28,2.650,3.87
1962-05-29,2.660,3.89
1962-05-31,2.700,3.90
1962-06-01,2.690,3.89
1962-06-04,2.660,3.88
1962-06-05,2.650,3.89
1962-06-06,2.660,3.89
1962-06-07,2.640,3.87
1962-06-08,2.650,3.86
1962-06-11,2.650,3.87
1962-06-12,2.670,3.86
1962-06-13,2.710,3.87
1962-06-14,2.730,3.90
1962-06-15,2.710,3.89
1962-06-18,2.720,3.91
1962-06-19,2.750,3.93
1962-06-20,2.730,3.92
1962-06-21,2.720,3.90
1962-06-22,2.740,3.90
1962-06-25,2.790,3.95
1962-06-26,2.830,3.97
1962-06-27,2.830,3.96
1962-06-28,2.860,3.98
1962-06-29,2.900,4.00
1962-07-02,2.920,4.00
1962-07-03,2.900,4.00
1962-07-05,2.920,4.00
1962-07-06,2.930,4.02
1962-07-09,2.960,4.05
1962-07-10,2.960,4.02
1962-07-11,2.970,3.99
1962-07-12,2.980,4.00
1962-07-13,2.960,4.00
1962-07-16,2.970,4.01
1962-07-17,2.970,4.03
1962-07-18,2.970,4.02
1962-07-19,2.930,4.02
1962-07-20,2.910,4.01
1962-07-23,2.870,4.00
1962-07-24,2.860,4.01
1962-07-25,2.890,4.02
1962-07-26,2.890,4.01
1962-07-27,2.880,4.02
1962-07-30,2.860,4.03
1962-07-31,2.860,4.04
1962-08-01,2.870,4.03
1962-08-02,2.830,4.00
1962-08-03,2.820,4.01
1962-08-06,2.800,4.01
1962-08-07,2.830,4.02
1962-08-08,2.840,4.01
1962-08-09,2.830,3.99
1962-08-10,2.830,3.99
1962-08-13,2.820,3.99
1962-08-14,2.830,3.98
1962-08-15,2.860,3.98
1962-08-16,2.830,3.96
1962-08-17,2.840,3.96
1962-08-20,2.820,3.94
1962-08-21,2.820,3.94
1962-08-22,2.820,3.95
1962-08-23,2.820,3.95
1962-08-24,2.820,3.95
1962-08-27,2.800,3.95
1962-08-28,2.780,3.96
1962-08-29,2.810,3.96
1962-08-30,2.800,3.95
1962-08-31,2.810,3.96
1962-09-04,2.830,3.96
1962-09-05,2.850,3.97
1962-09-06,2.790,3.99
1962-09-07,2.790,4.01
1962-09-10,2.770,4.00
1962-09-11,2.770,4.00
1962-09-12,2.780,4.00
1962-09-13,2.780,3.99
1962-09-14,2.780,3.99
1962-09-17,2.780,3.99
1962-09-18,2.770,3.98
1962-09-19,2.770,3.99
1962-09-20,2.750,3.98
1962-09-21,2.760,3.98
1962-09-24,2.750,3.97
1962-09-25,2.760,3.96
1962-09-26,2.760,3.95
1962-09-27,2.760,3.95
1962-09-28,2.740,3.94
1962-10-01,2.730,3.93
1962-10-02,2.740,3.92
1962-10-03,2.770,3.90
1962-10-04,2.760,3.90
1962-10-05,2.760,3.92
1962-10-08,2.760,3.93
1962-10-09,2.750,3.95
1962-10-10,2.760,3.93
1962-10-11,2.770,3.94
1962-10-15,2.750,3.94
1962-10-16,2.740,3.94
1962-10-17,2.750,3.94
1962-10-18,2.740,3.92
1962-10-19,2.720,3.88
1962-10-22,2.730,3.91
1962-10-23,2.740,3.94
1962-10-24,2.740,3.94
1962-10-25,2.740,3.94
1962-10-26,2.730,3.93
1962-10-29,2.690,3.92
1962-10-30,2.720,3.92
1962-10-31,2.720,3.92
1962-11-01,2.720,3.92
1962-11-02,2.830,3.91
1962-11-05,2.840,3.91
1962-11-07,2.840,3.91
1962-11-08,2.800,3.90
1962-11-09,2.800,3.89
1962-11-13,2.810,3.90
1962-11-14,2.820,3.91
1962-11-15,2.840,3.91
1962-11-16,2.830,3.93
1962-11-19,2.830,3.93
1962-11-20,2.830,3.93
1962-11-21,2.840,3.92
1962-11-23,2.840,3.92
1962-11-26,2.850,3.93
1962-11-27,2.870,3.92
1962-11-28,2.870,3.92
1962-11-29,2.860,3.92
1962-11-30,2.860,3.92
1962-12-03,2.860,3.93
1962-12-04,2.860,3.94
1962-12-05,2.850,3.93
1962-12-06,2.840,3.92
1962-12-07,2.830,3.91
1962-12-10,2.820,3.90
1962-12-11,2.840,3.89
1962-12-12,2.850,3.88
1962-12-13,2.850,3.88
1962-12-14,2.850,3.87
1962-12-17,2.860,3.85
1962-12-18,2.870,3.83
1962-12-19,2.880,3.84
1962-12-20,2.890,3.83
1962-12-21,2.880,3.81
1962-12-24,2.880,3.79
1962-12-26,2.860,3.79
1962-12-27,2.900,3.81
1962-12-28,2.930,3.84
1962-12-31,2.920,3.85
1963-01-02,2.880,3.82
1963-01-03,2.860,3.81
1963-01-04,2.900,3.84
1963-01-07,2.910,3.83
1963-01-08,2.900,3.81
1963-01-09,2.890,3.82
1963-01-10,2.890,3.81
1963-01-11,2.890,3.80
1963-01-14,2.880,3.81
1963-01-15,2.880,3.80
1963-01-16,2.890,3.80
1963-01-17,2.910,3.82
1963-01-18,2.920,3.84
1963-01-21,2.920,3.85
1963-01-22,2.930,3.86
1963-01-23,2.950,3.86
1963-01-24,2.940,3.86
1963-01-25,2.930,3.85
1963-01-28,2.920,3.86
1963-01-29,2.930,3.86
1963-01-30,2.930,3.86
1963-01-31,2.930,3.87
1963-02-01,2.940,3.88
1963-02-04,2.940,3.89
1963-02-05,2.960,3.90
1963-02-06,2.960,3.91
1963-02-07,2.950,3.91
1963-02-08,2.950,3.91
1963-02-11,2.940,3.92
1963-02-13,2.930,3.92
1963-02-14,2.920,3.91
1963-02-15,2.920,3.91
1963-02-18,2.910,3.91
1963-02-19,2.900,3.93
1963-02-20,2.900,3.94
1963-02-21,2.870,3.95
1963-02-25,2.880,3.95
1963-02-26,2.900,3.95
1963-02-27,2.910,3.95
1963-02-28,2.900,3.94
1963-03-01,2.900,3.93
1963-03-04,2.890,3.92
1963-03-05,2.900,3.92
1963-03-06,2.900,3.91
1963-03-07,2.880,3.92
1963-03-08,2.860,3.92
1963-03-11,2.870,3.92
1963-03-12,2.870,3.92
1963-03-13,2.880,3.92
1963-03-14,2.880,3.92
1963-03-15,2.880,3.92
1963-03-18,2.890,3.92
1963-03-19,2.890,3.92
1963-03-20,2.910,3.92
1963-03-21,2.900,3.92
1963-03-22,2.900,3.93
1963-03-25,2.900,3.94
1963-03-26,2.900,3.96
1963-03-27,2.920,3.96
1963-03-28,2.920,3.96
1963-03-29,2.910,3.95
1963-04-01,2.900,3.95
1963-04-02,2.900,3.96
1963-04-03,2.910,3.96
1963-04-04,2.910,3.95
1963-04-05,2.910,3.95
1963-04-08,2.900,3.97
1963-04-09,2.890,3.98
1963-04-10,2.900,4.00
1963-04-11,2.920,4.00
1963-04-15,2.910,4.01
1963-04-16,2.900,4.00
1963-04-17,2.900,4.00
1963-04-18,2.890,3.99
1963-04-19,2.880,3.97
1963-04-22,2.880,3.97
1963-04-23,2.890,3.97
1963-04-24,2.890,3.96
1963-04-25,2.890,3.95
1963-04-26,2.890,3.95
1963-04-29,2.890,3.95
1963-04-30,2.900,3.95
1963-05-01,2.900,3.94
1963-05-02,2.900,3.94
1963-05-03,2.900,3.93
1963-05-06,2.900,3.92
1963-05-07,2.900,3.91
1963-05-08,2.910,3.92
1963-05-09,2.910,3.93
1963-05-10,2.910,3.93
1963-05-13,2.900,3.92
1963-05-14,2.890,3.91
1963-05-15,2.900,3.91
1963-05-16,2.900,3.90
1963-05-17,2.910,3.92
1963-05-20,2.920,3.93
1963-05-21,2.920,3.92
1963-05-22,2.940,3.92
1963-05-23,2.950,3.93
1963-05-24,2.960,3.95
1963-05-27,2.970,3.95
1963-05-28,2.970,3.96
1963-05-29,2.990,3.96
1963-05-31,3.000,3.96
1963-06-03,3.030,3.98
1963-06-04,3.020,3.98
1963-06-05,3.000,3.98
1963-06-06,2.990,3.99
1963-06-07,2.980,3.99
1963-06-10,2.970,3.99
1963-06-11,2.980,3.98
1963-06-12,2.990,3.99
1963-06-13,2.980,3.99
1963-06-14,2.990,3.99
1963-06-17,2.980,4.00
1963-06-18,2.980,4.00
1963-06-19,2.980,4.00
1963-06-20,2.980,4.00
1963-06-21,2.980,4.00
1963-06-24,2.980,4.00
1963-06-25,2.990,4.00
1963-06-26,2.990,4.00
1963-06-27,2.990,4.00
1963-06-28,2.990,4.00
1963-07-01,3.000,4.01
1963-07-02,3.020,4.03
1963-07-03,3.040,4.03
1963-07-05,3.070,4.04
1963-07-08,3.210,4.05
1963-07-09,3.220,4.04
1963-07-10,3.230,4.03
1963-07-11,3.240,4.04
1963-07-12,3.180,4.03
1963-07-15,3.170,4.02
1963-07-16,3.170,4.02
1963-07-17,3.240,4.03
1963-07-18,3.200,4.02
1963-07-19,3.180,4.02
1963-07-22,3.170,4.02
1963-07-23,3.150,4.02
1963-07-24,3.220,4.01
1963-07-25,3.210,4.01
1963-07-26,3.200,3.99
1963-07-29,3.240,3.99
1963-07-30,3.250,4.00
1963-07-31,3.270,4.00
1963-08-01,3.250,3.99
1963-08-02,3.210,3.99
1963-08-05,3.210,3.99
1963-08-06,3.220,4.00
1963-08-07,3.280,4.01
1963-08-08,3.290,4.00
1963-08-09,3.300,4.00
1963-08-12,3.300,4.01
1963-08-13,3.310,4.02
1963-08-14,3.320,4.02
1963-08-15,3.330,4.01
1963-08-16,3.340,4.00
1963-08-19,3.330,3.99
1963-08-20,3.330,3.99
1963-08-21,3.370,4.00
1963-08-22,3.370,4.00
1963-08-23,3.380,4.00
1963-08-26,3.380,4.00
1963-08-27,3.390,4.00
1963-08-28,3.400,4.00
1963-08-29,3.390,4.01
1963-08-30,3.390,4.02
1963-09-03,3.380,4.03
1963-09-04,3.370,4.04
1963-09-05,3.350,4.08
1963-09-06,3.340,4.09
1963-09-09,3.340,4.09
1963-09-10,3.360,4.09
1963-09-11,3.360,4.09
1963-09-12,3.370,4.09
1963-09-13,3.380,4.09
1963-09-16,3.410,4.09
1963-09-17,3.400,4.09
1963-09-18,3.410,4.08
1963-09-19,3.410,4.08
1963-09-20,3.400,4.07
1963-09-23,3.390,4.07
1963-09-24,3.390,4.08
1963-09-25,3.370,4.08
1963-09-26,3.370,4.08
1963-09-27,3.360,4.07
1963-09-30,3.370,4.07
1963-10-01,3.370,4.07
1963-10-02,3.430,4.07
1963-10-03,3.440,4.07
1963-10-04,3.450,4.08
1963-10-07,3.460,4.08
1963-10-08,3.450,4.09
1963-10-09,3.440,4.10
1963-10-10,3.440,4.10
1963-10-11,3.440,4.10
1963-10-14,3.450,4.10
1963-10-15,3.460,4.11
1963-10-16,3.460,4.11
1963-10-17,3.490,4.12
1963-10-18,3.480,4.12
1963-10-21,3.460,4.12
1963-10-22,3.430,4.11
1963-10-23,3.440,4.12
1963-10-24,3.450,4.11
1963-10-25,3.440,4.12
1963-10-28,3.440,4.12
1963-10-29,3.460,4.13
1963-10-30,3.480,4.14
1963-10-31,3.480,4.15
1963-11-01,3.490,4.15
1963-11-04,3.510,4.15
1963-11-06,3.540,4.17
1963-11-07,3.550,4.17
1963-11-08,3.550,4.16
1963-11-12,3.550,4.16
1963-11-13,3.580,4.15
1963-11-14,3.540,4.12
1963-11-15,3.530,4.11
1963-11-18,3.520,4.11
1963-11-19,3.520,4.10
1963-11-20,3.510,4.09
1963-11-21,3.500,4.10
1963-11-22,3.490,4.09
1963-11-26,3.460,4.08
1963-11-27,3.490,4.08
1963-11-29,3.500,4.08
1963-12-02,3.530,4.09
1963-12-03,3.540,4.10
1963-12-04,3.530,4.10
1963-12-05,3.520,4.11
1963-12-06,3.500,4.11
1963-12-09,3.490,4.10
1963-12-10,3.490,4.10
1963-12-11,3.510,4.12
1963-12-12,3.510,4.12
1963-12-13,3.520,4.13
1963-12-16,3.530,4.15
1963-12-17,3.530,4.15
1963-12-18,3.530,4.15
1963-12-19,3.530,4.14
1963-12-20,3.520,4.15
1963-12-23,3.520,4.15
1963-12-24,3.520,4.15
1963-12-26,3.530,4.15
1963-12-27,3.520,4.15
1963-12-30,3.520,4.14
1963-12-31,3.510,4.14
1964-01-02,3.530,4.14
1964-01-03,3.530,4.15
1964-01-06,3.530,4.16
1964-01-07,3.530,4.15
1964-01-08,3.540,4.18
1964-01-09,3.530,4.18
1964-01-10,3.530,4.18
1964-01-13,3.540,4.18
1964-01-14,3.540,4.18
1964-01-15,3.550,4.18
1964-01-16,3.540,4.17
1964-01-17,3.540,4.17
1964-01-20,3.520,4.16
1964-01-21,3.520,4.16
1964-01-22,3.520,4.16
1964-01-23,3.510,4.16
1964-01-24,3.510,4.18
1964-01-27,3.500,4.18
1964-01-28,3.500,4.17
1964-01-29,3.500,4.17
1964-01-30,3.500,4.16
1964-01-31,3.500,4.15
1964-02-03,3.500,4.15
1964-02-04,3.510,4.15
1964-02-05,3.510,4.15
1964-02-06,3.500,4.14
1964-02-07,3.520,4.14
1964-02-10,3.530,4.14
1964-02-11,3.520,4.14
1964-02-13,3.520,4.13
1964-02-14,3.520,4.13
1964-02-17,3.520,4.13
1964-02-18,3.520,4.14
1964-02-19,3.540,4.14
1964-02-20,3.540,4.14
1964-02-24,3.530,4.15
1964-02-25,3.530,4.15
1964-02-26,3.550,4.15
1964-02-27,3.590,4.17
1964-02-28,3.600,4.18
1964-03-02,3.580,4.17
1964-03-03,3.560,4.18
1964-03-04,3.570,4.19
1964-03-05,3.550,4.19
1964-03-06,3.540,4.19
1964-03-09,3.530,4.20
1964-03-10,3.540,4.20
1964-03-11,3.560,4.21
1964-03-12,3.550,4.21
1964-03-13,3.540,4.22
1964-03-16,3.530,4.21
1964-03-17,3.530,4.22
1964-03-18,3.550,4.23
1964-03-19,3.550,4.24
1964-03-20,3.550,4.25
1964-03-23,3.540,4.25
1964-03-24,3.530,4.26
1964-03-25,3.550,4.26
1964-03-26,3.540,4.25
1964-03-30,3.520,4.25
1964-03-31,3.510,4.23
1964-04-01,3.530,4.23
1964-04-02,3.530,4.24
1964-04-03,3.520,4.25
1964-04-06,3.500,4.25
1964-04-07,3.490,4.25
1964-04-08,3.480,4.22
1964-04-09,3.460,4.22
1964-04-10,3.460,4.22
1964-04-13,3.470,4.23
1964-04-14,3.480,4.24
1964-04-15,3.490,4.23
1964-04-16,3.470,4.23
1964-04-17,3.460,4.24
1964-04-20,3.450,4.24
1964-04-21,3.440,4.23
1964-04-22,3.460,4.23
1964-04-23,3.450,4.23
1964-04-24,3.450,4.23
1964-04-27,3.440,4.23
1964-04-28,3.440,4.23
1964-04-29,3.450,4.22
1964-04-30,3.450,4.22
1964-05-01,3.460,4.22
1964-05-04,3.470,4.22
1964-05-05,3.480,4.22
1964-05-06,3.500,4.22
1964-05-07,3.490,4.22
1964-05-08,3.490,4.20
1964-05-11,3.470,4.19
1964-05-12,3.470,4.19
1964-05-13,3.480,4.19
1964-05-14,3.480,4.19
1964-05-15,3.470,4.19
1964-05-18,3.460,4.19
1964-05-19,3.470,4.19
1964-05-20,3.490,4.20
1964-05-21,3.480,4.20
1964-05-22,3.470,4.20
1964-05-25,3.460,4.19
1964-05-26,3.460,4.19
1964-05-27,3.480,4.20
1964-05-28,3.470,4.19
1964-06-01,3.470,4.19
1964-06-02,3.470,4.19
1964-06-03,3.480,4.19
1964-06-04,3.470,4.19
1964-06-05,3.470,4.18
1964-06-08,3.460,4.18
1964-06-09,3.460,4.17
1964-06-10,3.470,4.17
1964-06-11,3.480,4.18
1964-06-12,3.480,4.18
1964-06-15,3.490,4.18
1964-06-16,3.490,4.18
1964-06-17,3.500,4.18
1964-06-18,3.490,4.17
1964-06-19,3.480,4.16
1964-06-22,3.480,4.15
1964-06-23,3.470,4.15
1964-06-24,3.470,4.15
1964-06-25,3.470,4.15
1964-06-26,3.470,4.15
1964-06-29,3.470,4.15
1964-06-30,3.470,4.15
1964-07-01,3.480,4.15
1964-07-02,3.480,4.15
1964-07-06,3.480,4.16
1964-07-07,3.490,4.15
1964-07-08,3.500,4.15
1964-07-09,3.480,4.18
1964-07-10,3.430,4.19
1964-07-13,3.430,4.19
1964-07-14,3.440,4.19
1964-07-15,3.440,4.19
1964-07-16,3.420,4.19
1964-07-17,3.440,4.20
1964-07-20,3.460,4.21
1964-07-21,3.460,4.20
1964-07-22,3.480,4.21
1964-07-23,3.450,4.20
1964-07-24,3.450,4.20
1964-07-27,3.450,4.20
1964-07-28,3.460,4.20
1964-07-29,3.470,4.20
1964-07-30,3.470,4.19
1964-07-31,3.470,4.19
1964-08-03,3.470,4.19
1964-08-04,3.470,4.19
1964-08-05,3.500,4.19
1964-08-06,3.490,4.18
1964-08-07,3.490,4.19
1964-08-10,3.500,4.19
1964-08-11,3.500,4.20
1964-08-12,3.510,4.20
